	time	x	y	Explorer	Terminal	Code	Engagement	Excitement	Long term excitement	Stress/Frustration	Relaxation	Interest/Affinity	Focus
0	startTime	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1		0.80764	1.73952	0.0	0.0	100.0	0.699472	0.218797	0.0	0.385849	0.417827	0.567305	0.260299
2		0.46399	0.34973	0.0	0.0	100.0	0.699472	0.218797	0.0	0.385849	0.417827	0.567305	0.260299
3		0.5184	0.38369	0.0	0.0	100.0	0.699472	0.218797	0.0	0.385849	0.417827	0.567305	0.260299
4		0.5485	0.40946	0.0	0.0	100.0	0.699472	0.218797	0.0	0.385849	0.417827	0.567305	0.260299
5		0.52674	0.3799	0.0	0.0	100.0	0.699472	0.218797	0.0	0.385849	0.417827	0.567305	0.260299
6		0.53962	0.39314	0.0	0.0	100.0	0.699472	0.218797	0.0	0.385849	0.417827	0.567305	0.260299
7		0.53034	0.39033	0.0	0.0	100.0	0.699472	0.218797	0.0	0.385849	0.417827	0.567305	0.260299
8		0.52775	0.39091	0.0	0.0	100.0	0.699472	0.218797	0.0	0.385849	0.417827	0.567305	0.260299
9		0.52775	0.39091	0.0	0.0	100.0	0.699472	0.218797	0.0	0.385849	0.417827	0.567305	0.260299
10		0.52775	0.39091	0.0	0.0	100.0	0.699472	0.218797	0.0	0.385849	0.417827	0.567305	0.260299
11		0.52775	0.39091	0.0	0.0	100.0	0.699472	0.218797	0.0	0.385849	0.417827	0.567305	0.260299
12		0.52775	0.39091	0.0	0.0	100.0	0.699472	0.218797	0.0	0.385849	0.417827	0.567305	0.260299
13		0.52775	0.39091	0.0	0.0	100.0	0.699472	0.218797	0.0	0.385849	0.417827	0.567305	0.260299
