	time	x	y	Explorer	Terminal	Code	Engagement	Excitement	Long term excitement	Stress/Frustration	Relaxation	Interest/Affinity	Focus	Pulse	Bvp	Gsr	Valence	Arousal	Age	Gender	function
0	11-05-2023T12-37-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
1	11-05-2023T12-37-13	0.39497010745888783	0.5274134779067886	0.0	0.0	0.0	0.43128059322601264	0.49732962915928236	0.3216314972746853	0.4041902479321209	0.5313666574003675	0.4687014377599513	0.6203279076209953	78.0	-75.0	0.1	0.0	0.0	50.0	Male	get_emotion
2	11-05-2023T12-37-14	0.1759691824541607	0.9416391132892026	0.0	0.0	0.0	0.4374248651346383	0.6636654847935253	0.20586613268505427	0.7522214389220772	0.10145066563914074	0.9402300068812967	0.2851290945948506	77.0	-56.0	0.2	0.0	0.0	50.0	Male	get_emotion
3	11-05-2023T12-37-15	0.10116581216532872	0.5016287993329628	0.0	0.0	0.0	0.8829468301641377	0.02929367055121479	0.9415409458255464	0.878307121930608	0.6580136344716571	0.7704474823226393	0.7880771905561476	85.0	19.0	0.2	0.0	0.0	50.0	Male	get_emotion
4	11-05-2023T12-37-16	0.7696734662189756	0.9953940375848351	0.0	0.0	0.0	0.6744567377377599	0.7286394627950817	0.5401338863455372	0.5220940834205998	0.2577250122447199	0.3536603025543771	0.3454126571809568	86.0	-45.0	0.1	0.0	0.0	50.0	Male	get_emotion
5	11-05-2023T12-37-17	0.6811964525277641	0.32103222776977625	0.0	0.0	0.0	0.77153828473595	0.4894609558539583	0.9105075035991024	0.49716876967768564	0.6672959757827911	0.23059524890780514	0.7733031259950133	68.0	-98.0	0.2	0.0	0.0	50.0	Male	get_emotion
6	11-05-2023T12-37-18	0.552753896736052	0.41468055438161167	0.0	0.0	0.0	0.8186078042520029	0.38732550295825696	0.21962569112267372	0.114822710435734	0.3434868065084068	0.5134304223601368	0.7271621579610156	63.0	7.0	0.2	0.0	0.0	50.0	Male	get_emotion
7	11-05-2023T12-37-19	0.4959485434401544	0.407102377540734	0.0	0.0	0.0	0.19774786987902981	0.0021278457277881246	0.4018434653330947	0.9198949251922931	0.20480689175515288	0.6235866114603876	0.849791177498924	71.0	-77.0	0.1	0.0	0.0	50.0	Male	get_emotion
8	11-05-2023T12-37-20	0.9460648045933365	0.9560306017027054	0.0	0.0	0.0	0.22670836297589192	0.3195524185919203	0.24485366808501197	0.40938435161334963	0.6701650193882157	0.7710647870112631	0.018529404426920415	96.0	28.0	0.1	0.0	0.0	50.0	Male	get_emotion
9	11-05-2023T12-37-21	0.2592888157564529	0.0667292621651675	0.0	0.0	0.0	0.704799667264987	0.8184085975789378	0.9252660809693198	0.09797675857291055	0.36182133346879386	0.711421454316441	0.04644456468419644	98.0	-86.0	0.2	0.0	0.0	50.0	Male	get_emotion
