	time	x	y	Explorer	Terminal	Code	Engagement	Excitement	Long term excitement	Stress/Frustration	Relaxation	Interest/Affinity	Focus	Pulse	Bvp	Gsr
0	26-04-2023T16-42-38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	26-04-2023T16-42-39						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	26-04-2023T16-42-40						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	26-04-2023T16-42-41						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	26-04-2023T16-42-42						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	26-04-2023T16-42-43						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	26-04-2023T16-42-44						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	26-04-2023T16-42-45						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	26-04-2023T16-42-46						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	26-04-2023T16-42-47						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	26-04-2023T16-42-48						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	26-04-2023T16-42-49						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	26-04-2023T16-42-50						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	26-04-2023T16-42-51						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	26-04-2023T16-42-52						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	26-04-2023T16-42-53						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	26-04-2023T16-42-54						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	26-04-2023T16-42-55						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	26-04-2023T16-42-56						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	26-04-2023T16-42-57						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	26-04-2023T16-42-58						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	26-04-2023T16-42-59						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	26-04-2023T16-43-00						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	26-04-2023T16-43-01						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	26-04-2023T16-43-02						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	26-04-2023T16-43-03						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	26-04-2023T16-43-04						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	26-04-2023T16-43-05						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	26-04-2023T16-43-06						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	26-04-2023T16-43-08						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	26-04-2023T16-43-09						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	26-04-2023T16-43-10						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
