	time	x	y	Explorer	Terminal	Code	Engagement	Excitement	Long term excitement	Stress/Frustration	Relaxation	Interest/Affinity	Focus	Pulse	Name	Age	Initial pulse	Arousal	Valence	Gender
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43		3.0	2.0	Male
1	13/04/2023-10:58:17						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43		3.0	2.0	Male
2	13/04/2023-10:58:18						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
3	13/04/2023-10:58:20						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
4	13/04/2023-10:58:21						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
5	13/04/2023-10:58:22						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
6	13/04/2023-10:58:23						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
7	13/04/2023-10:58:24						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
8	13/04/2023-10:58:25						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
9	13/04/2023-10:58:26						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43		3	2	Male
10	13/04/2023-10:58:31						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
11	13/04/2023-10:58:32						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
12	13/04/2023-10:58:33						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
13	13/04/2023-10:58:35						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
14	13/04/2023-10:58:36						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
15	13/04/2023-10:58:37						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
16	13/04/2023-10:58:38						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sebbe	43				Male
